sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure_binary,weeks,train_status_enc,sex.male,age,upper_body,has_nutrition_control,hedges_g,hyp_class
9.0,9.0,3.0,3.0,89.73,9.97,2.0,100.0,1,9.0,2,1.0,26.0,0,0,0.21,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,1,0,0.71,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,1,0,0.77,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,0,0,0.6,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,0,0,0.44,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,1,0,0.6,Medium
32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,1,0,0.97,High
32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,1,0,0.27,Medium
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,0,0,0.83,High
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,0,0,0.93,High
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,1,0,0.28,Medium
30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,1.0,25.6,1,0,0.65,Medium
30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,1.0,25.6,1,0,1.13,High
12.0,12.0,4.0,5.0,132.0,11.0,1.0,100.0,1,8.0,2,1.0,25.6,0,0,1.16,High
30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,1.0,26.4,1,0,0.23,Medium
30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,1.0,26.4,1,0,0.43,Medium
12.0,12.0,1.0,5.0,132.0,11.0,1.0,100.0,1,8.0,2,1.0,26.4,0,0,0.75,Medium
12.0,6.0,1.0,1.0,120.0,10.0,2.0,100.0,1,10.0,2,1.0,21.7,1,0,0.21,Medium
12.0,6.0,2.0,2.0,120.0,10.0,2.0,100.0,1,10.0,2,1.0,22.8,1,0,0.09,Low
6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,1,0,0.14,Low
6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,1,0,0.11,Low
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,0,0,0.31,Medium
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,0,0,0.45,Medium
18.0,0.0,0.0,3.0,180.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,1,0,0.35,Medium
18.0,0.0,0.0,3.0,180.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,1,0,0.22,Medium
27.0,27.0,3.0,3.0,270.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,0,0,0.36,Medium
27.0,27.0,3.0,3.0,270.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,0,0,0.59,Medium
30.0,0.0,0.0,3.0,300.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,1,0,0.72,Medium
30.0,0.0,0.0,3.0,300.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,1,0,0.59,Medium
45.0,45.0,3.0,3.0,450.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,0,0,1.64,High
45.0,45.0,3.0,3.0,450.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,0,0,1.15,High
16.0,8.0,2.0,4.0,144.0,9.0,1.0,100.0,1,8.0,2,1.0,27.9,1,0,0.05,Low
16.0,8.0,2.0,4.0,144.0,9.0,1.0,100.0,1,8.0,2,1.0,27.9,1,0,0.07,Low
16.0,16.0,2.0,4.0,144.0,9.0,1.0,100.0,1,8.0,2,1.0,27.9,0,0,0.16,Low
24.0,12.0,2.0,4.0,216.0,9.0,1.0,100.0,1,8.0,2,1.0,26.4,1,0,0.1,Low
24.0,12.0,2.0,4.0,216.0,9.0,1.0,100.0,1,8.0,2,1.0,26.4,1,0,0.3,Medium
24.0,24.0,2.0,4.0,216.0,9.0,1.0,100.0,1,8.0,2,1.0,26.4,0,0,0.4,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.0,100.0,1,8.0,2,1.0,27.1,1,0,0.34,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.0,100.0,1,8.0,2,1.0,27.1,1,0,0.59,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.0,100.0,1,8.0,2,1.0,27.1,0,0,0.65,Medium
12.0,12.0,2.0,2.0,108.0,9.0,4.0,100.0,1,9.0,2,0.62,25.5,0,0,1.21,High
12.0,12.0,4.0,4.0,108.0,9.0,4.0,100.0,1,9.0,2,0.38,26.8,0,0,1.04,High
6.0,3.0,3.0,3.0,60.0,10.0,1.75,100.0,1,24.33,0,1.0,24.1,1,0,0.08,Low
9.0,3.0,3.0,3.0,90.0,10.0,1.75,100.0,1,24.33,0,1.0,24.1,1,0,0.05,Low
18.0,9.0,3.0,3.0,180.0,10.0,1.75,100.0,1,24.33,0,1.0,24.1,1,0,0.79,Medium
27.0,9.0,3.0,3.0,270.0,10.0,1.75,100.0,1,24.33,0,1.0,24.1,1,0,0.07,Low
30.0,15.0,3.0,3.0,300.0,10.0,1.75,100.0,1,24.33,0,1.0,24.7,1,0,1.17,High
45.0,15.0,3.0,3.0,450.0,10.0,1.75,100.0,1,24.33,0,1.0,24.7,1,0,2.26,High
36.0,12.0,2.0,4.0,360.0,10.0,1.5,100.0,1,10.0,2,1.0,21.0,0,0,1.13,High
36.0,36.0,2.0,4.0,360.0,10.0,1.5,100.0,1,10.0,2,1.0,21.0,0,0,1.16,High
24.0,12.0,2.0,4.0,240.0,10.0,1.5,100.0,1,10.0,2,1.0,21.0,1,0,0.48,Medium
