number,first.author,year,design,upper.lower,age,sex.male,train.status,body.mass,years.exp,sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure.nonfailure.mixed.direct,weeks,nutrition.controlled.surplus?,nutrition.controlled.deficit?,pre.mean,post.mean,pre.sd,post.sd,n,measure,outcome,hedges_g,volume_category,failure_binary,nutrition_category,train_status_enc,upper_body,hyp_class
5,Starkey,1996,between,lower,34.3,50.0,untrained,71.1,3.5,3.0,3.0,3.0,3.0,37.08,12.36,2.0,100.0,failure,14.0,No,No,62.4,65.1,9.2,9.1,14,60% Posterior Thigh MT,Hypertrophy,0.2865,Low,1,None,0,0,Medium
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,failure,14.0,No,No,38.8,39.8,7.2,6.5,17,MED MT,Hypertrophy,0.1424,Moderate,1,None,0,0,Low
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,failure,14.0,No,No,41.1,40.6,5.9,6.0,17,LATER MT,Hypertrophy,-0.082,Moderate,1,None,0,0,Low
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,failure,14.0,No,No,55.0,56.1,7.4,7.6,17,20% Anterior Thigh MT,Hypertrophy,0.1432,Moderate,1,None,0,0,Low
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,failure,14.0,No,No,49.3,50.3,8.0,7.3,17,40% Anterior Thigh MT,Hypertrophy,0.1275,Moderate,1,None,0,0,Low
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,failure,14.0,No,No,38.0,39.1,7.5,7.3,17,60% Anterior Thigh MT,Hypertrophy,0.1451,Moderate,1,None,0,0,Low
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,failure,14.0,No,No,26.8,28.3,4.1,5.5,17,20% Lateral Thigh MT,Hypertrophy,0.3019,Moderate,1,None,0,0,Medium
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,failure,14.0,No,No,35.6,36.7,5.3,5.8,17,40% Lateral Thigh MT,Hypertrophy,0.1933,Moderate,1,None,0,0,Low
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,failure,14.0,No,No,35.3,36.3,4.6,4.9,17,60% Lateral Thigh MT,Hypertrophy,0.2055,Moderate,1,None,0,0,Medium
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,37.08,11.4,2.0,100.0,failure,14.0,No,No,56.1,59.1,7.0,7.8,17,40% Posterior Thigh MT,Hypertrophy,0.3953,Moderate,1,None,0,0,Medium
