sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure_binary,weeks,train_status_enc,sex.male,age,nutrition_category,upper_body,volume_category,hedges_g,hyp_class
48.0,16.0,4.0,4.0,480.0,10.0,1.0,100.0,1,8.0,0,100.0,27.5,None,1,High,0.4166,Medium
16.0,16.0,4.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,100.0,27.5,None,0,High,0.623,Medium
16.0,0.0,0.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,100.0,27.5,None,0,High,0.5874,Medium
9.0,9.0,1.0,1.0,89.64000000000001,9.96,2.0,100.0,1,9.0,2,100.0,26.0,None,0,Moderate,0.0824,Low
9.0,9.0,3.0,3.0,89.73,9.97,2.0,100.0,1,9.0,2,100.0,26.0,None,0,Moderate,0.2057,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,1,High,0.713,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,1,High,0.7666,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,0,High,0.6005,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,0,High,0.4357,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,1,High,0.5982,Medium
32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,1,High,0.9721,High
32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,1,High,0.2708,Medium
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,0,High,0.8274,High
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,0,High,0.9269,High
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,1,High,0.2757,Medium
30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,100.0,25.6,None,1,High,0.6462,Medium
30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,100.0,25.6,None,1,High,1.1338,High
12.0,12.0,4.0,5.0,132.0,11.0,1.0,100.0,1,8.0,2,100.0,25.6,None,0,Moderate,1.1559,High
30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,100.0,26.4,None,1,High,0.2286,Medium
30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,100.0,26.4,None,1,High,0.4288,Medium
12.0,12.0,1.0,5.0,132.0,11.0,1.0,100.0,1,8.0,2,100.0,26.4,None,0,Moderate,0.7469,Medium
12.0,6.0,1.0,1.0,120.0,10.0,2.0,100.0,1,10.0,2,100.0,21.7,None,1,Moderate,0.208,Medium
12.0,6.0,2.0,2.0,120.0,10.0,2.0,100.0,1,10.0,2,100.0,22.8,None,1,Moderate,0.09,Low
6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,Low,0.1428,Low
6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,Low,0.1057,Low
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,0,Moderate,0.3139,Medium
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,0,Moderate,0.4535,Medium
18.0,0.0,0.0,3.0,180.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,High,0.3466,Medium
18.0,0.0,0.0,3.0,180.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,High,0.2163,Medium
27.0,27.0,3.0,3.0,270.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,0,High,0.3561,Medium
27.0,27.0,3.0,3.0,270.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,0,High,0.5909,Medium
30.0,0.0,0.0,3.0,300.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,High,0.7231,Medium
30.0,0.0,0.0,3.0,300.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,High,0.5874,Medium
45.0,45.0,3.0,3.0,450.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,0,High,1.6403,High
45.0,45.0,3.0,3.0,450.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,0,High,1.1538,High
16.0,8.0,2.0,4.0,144.0,9.0,1.0,100.0,1,8.0,2,100.0,27.9,None,1,High,0.0488,Low
16.0,8.0,2.0,4.0,144.0,9.0,1.0,100.0,1,8.0,2,100.0,27.9,None,1,High,0.0664,Low
16.0,16.0,2.0,4.0,144.0,9.0,1.0,100.0,1,8.0,2,100.0,27.9,None,0,High,0.1586,Low
24.0,12.0,2.0,4.0,216.0,9.0,1.0,100.0,1,8.0,2,100.0,26.4,None,1,High,0.1047,Low
24.0,12.0,2.0,4.0,216.0,9.0,1.0,100.0,1,8.0,2,100.0,26.4,None,1,High,0.296,Medium
24.0,24.0,2.0,4.0,216.0,9.0,1.0,100.0,1,8.0,2,100.0,26.4,None,0,High,0.3965,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.0,100.0,1,8.0,2,100.0,27.1,None,1,High,0.3434,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.0,100.0,1,8.0,2,100.0,27.1,None,1,High,0.5945,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.0,100.0,1,8.0,2,100.0,27.1,None,0,High,0.6536,Medium
12.0,12.0,2.0,2.0,108.0,9.0,4.0,100.0,1,9.0,2,61.5,25.5,None,0,Moderate,1.2105,High
12.0,12.0,4.0,4.0,108.0,9.0,4.0,100.0,1,9.0,2,37.5,26.8,None,0,Moderate,1.0441,High
6.0,3.0,3.0,3.0,60.0,10.0,1.75,100.0,1,24.33,0,100.0,24.1,None,1,Low,0.084,Low
9.0,3.0,3.0,3.0,90.0,10.0,1.75,100.0,1,24.33,0,100.0,24.1,None,1,Moderate,0.0495,Low
18.0,9.0,3.0,3.0,180.0,10.0,1.75,100.0,1,24.33,0,100.0,24.1,None,1,High,0.7852,Medium
27.0,9.0,3.0,3.0,270.0,10.0,1.75,100.0,1,24.33,0,100.0,24.1,None,1,High,0.0663,Low
30.0,15.0,3.0,3.0,300.0,10.0,1.75,100.0,1,24.33,0,100.0,24.7,None,1,High,1.1658,High
45.0,15.0,3.0,3.0,450.0,10.0,1.75,100.0,1,24.33,0,100.0,24.7,None,1,High,2.2588,High
36.0,12.0,2.0,4.0,360.0,10.0,1.5,100.0,1,10.0,2,100.0,21.0,None,0,High,1.1288,High
36.0,36.0,2.0,4.0,360.0,10.0,1.5,100.0,1,10.0,2,100.0,21.0,None,0,High,1.1644,High
24.0,12.0,2.0,4.0,240.0,10.0,1.5,100.0,1,10.0,2,100.0,21.0,None,1,High,0.4846,Medium
24.0,12.0,2.0,4.0,240.0,10.0,1.5,100.0,1,10.0,2,100.0,21.0,None,1,High,0.7408,Medium
36.0,12.0,3.0,3.0,360.0,10.0,1.5,100.0,1,10.0,2,100.0,21.0,None,0,High,0.6716,Medium
36.0,36.0,3.0,3.0,360.0,10.0,1.5,100.0,1,10.0,2,100.0,21.0,None,0,High,0.69,Medium
24.0,12.0,3.0,3.0,240.0,10.0,1.5,100.0,1,10.0,2,100.0,21.0,None,1,High,0.1029,Low
24.0,12.0,3.0,3.0,240.0,10.0,1.5,100.0,1,10.0,2,100.0,21.0,None,1,High,0.3625,Medium
16.0,8.0,1.0,2.0,160.0,10.0,1.0,100.0,1,8.0,2,100.0,28.6,None,1,High,0.5262,Medium
16.0,8.0,1.0,2.0,160.0,10.0,1.0,100.0,1,8.0,2,100.0,28.6,None,1,High,0.4558,Medium
16.0,16.0,1.0,2.0,160.0,10.0,1.0,100.0,1,8.0,2,100.0,28.6,None,0,High,0.9675,High
16.0,16.0,1.0,2.0,160.0,10.0,1.0,100.0,1,8.0,2,100.0,28.6,None,0,High,0.9675,High
16.0,8.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,2,100.0,25.5,None,1,High,0.4937,Medium
16.0,8.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,2,100.0,25.5,None,1,High,0.363,Medium
16.0,16.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,2,100.0,25.5,None,0,High,0.901,High
16.0,16.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,2,100.0,25.5,None,0,High,1.2765,High
15.0,6.0,1.0,3.0,150.0,10.0,1.5,100.0,1,8.0,2,100.0,23.5,None,1,Moderate,0.3329,Medium
19.0,6.0,1.0,3.0,190.0,10.0,1.5,100.0,1,8.0,2,100.0,23.5,None,1,High,0.4656,Medium
9.0,9.0,1.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,100.0,23.5,None,0,Moderate,0.1744,Low
15.0,6.0,3.0,3.0,150.0,10.0,1.5,100.0,1,8.0,2,100.0,23.5,None,1,Moderate,0.3607,Medium
19.0,6.0,3.0,3.0,190.0,10.0,1.5,100.0,1,8.0,2,100.0,23.5,None,1,High,0.8886,High
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,100.0,23.5,None,0,Moderate,0.6787,Medium
12.0,6.0,1.0,1.0,120.0,10.0,2.0,100.0,1,10.0,0,100.0,23.1,None,1,Moderate,0.4971,Medium
12.0,6.0,2.0,2.0,120.0,10.0,2.0,100.0,1,10.0,0,100.0,22.8,None,1,Moderate,0.5918,Medium
9.0,3.0,1.0,1.0,99.0,11.0,3.0,0.0,0,6.0,2,100.0,20.1,None,1,Moderate,0.3072,Medium
18.0,6.0,2.0,2.0,198.0,11.0,3.0,0.0,0,6.0,2,100.0,19.5,None,1,High,0.5776,Medium
27.0,9.0,2.0,2.0,297.0,11.0,3.0,0.0,0,6.0,2,100.0,20.5,None,1,High,0.3826,Medium
15.0,15.0,5.0,5.0,157.5,10.5,2.0,100.0,1,8.0,0,100.0,23.0,None,0,Moderate,0.6756,Medium
9.0,9.0,3.0,3.0,94.5,10.5,2.0,100.0,1,8.0,0,100.0,23.0,None,0,Moderate,0.5605,Medium
6.0,6.0,2.0,2.0,63.0,10.5,2.0,100.0,1,8.0,0,100.0,23.0,None,0,Low,0.6603,Medium
24.0,12.0,3.0,3.0,216.0,9.0,1.25,100.0,1,6.0,2,100.0,22.6,None,1,High,0.646,Medium
16.0,12.0,3.0,3.0,144.0,9.0,1.25,100.0,1,6.0,2,100.0,22.6,None,1,High,0.8663,High
12.0,4.0,1.0,3.0,108.0,9.0,1.25,100.0,1,6.0,2,100.0,22.6,None,0,Moderate,0.2505,Medium
12.0,12.0,3.0,3.0,108.0,9.0,1.25,100.0,1,6.0,2,100.0,22.6,None,0,Moderate,0.561,Medium
24.0,12.0,6.0,6.0,216.0,9.0,1.25,100.0,1,6.0,2,100.0,22.6,None,1,High,-0.1072,Low
16.0,12.0,6.0,6.0,144.0,9.0,1.25,100.0,1,6.0,2,100.0,22.6,None,1,High,0.8335,High
12.0,4.0,2.0,6.0,108.0,9.0,1.25,100.0,1,6.0,2,100.0,22.6,None,0,Moderate,0.5115,Medium
12.0,12.0,6.0,6.0,108.0,9.0,1.25,100.0,1,6.0,2,100.0,22.6,None,0,Moderate,0.6097,Medium
12.0,12.0,2.0,2.0,123.0,10.25,2.0,33.33,0,8.0,2,100.0,21.5,None,0,Moderate,0.3513,Medium
